hillnumber,hillname,region,parent,classification,metres,gridref,latitude,longitude,wainwright
2432,Scar Crags,34B,2372,Sim;Hew;N;W; B;Sy;Fel,672,NY208206,54.574968,-3.225966,1
2434,Whiteless Pike,34B,2372,Sim;Hew;N;W; B;Sy;Fel,660,NY180189,54.559367,-3.26931,1
2436,High Spy,34B,2400,Hu;Sim;Hew;N; sMa;W;B;Sy,653.1,NY234162,54.535559,-3.185141,1
2437,Rossett Pike,34B,2359,Sim;Hew;N;W; B;Sy;Fel,651,NY249075,54.457935,-3.159804,1
2438,Fleetwith Pike,34B,2367,Hu;Sim;Hew;N; W;B;Sy;Fel,648.9,NY205141,54.516562,-3.22818,1
2439,Base Brown,34B,2367,Sim;Hew;N;W; B;Sy;Fel,646,NY225114,54.492581,-3.197762,1
2442,Causey Pike,34B,2372,Sim;Hew;N;W; B;Sy;Fel,637,NY218208,54.576817,-3.210133,1
2445,Starling Dodd,34B,2381,Sim;Hew;N;W; B;Sy;Fel,633,NY142157,54.529725,-3.327207,1
2450,Yewbarrow,34B,2368,Hu;Sim;Hew;N; sMa;W;B;Sy,627,NY173084,54.464889,-3.27686,1
2451,Great Borne,34B,2381,Hu;Sim;Hew;N; W;B;Sy;Fel,616,NY123163,54.534903,-3.355442,1
2454,Illgill Head,34B,,Ma;Sim;Dew;W; B;Sy;Fel,608.8,NY168049,54.43293,-3.282634,1
2455,High Seat,34B,2396,Hu;Sim;Dew;W; B;Sy;Fel,608,NY287180,54.552632,-3.103765,1
2456,Seathwaite Fell (Wainwright summit),34B,2359,W;B;Sy;Fel,601,NY229101,54.481131,-3.191438,1
2457,Haystacks (Buttermere),34B,2367,5;Dew;W;B; Sy;Fel,597,NY193131,54.507243,-3.247321,1
2458,Bleaberry Fell,34B,2396,5;Dew;W;B; Sy;Fel,590,NY285195,54.56637,-3.106177,1
2459,Middle Fell,34B,2427,Hu;5;Dew;W; B;Sy;Fel,582,NY150072,54.453249,-3.311327,1
2460,Ard Crags,34B,2372,Hu;5;Dew;W; B;Sy;Fel,581,NY206197,54.566938,-3.228123,1
2461,Maiden Moor,34B,2400,W;B;Sy;Fel,575,NY236181,54.553174,-3.181585,1
2462,Blake Fell,34B,,Ma;5;Dew;W; B;Sy;Fel,573,NY110196,54.564569,-3.377198,1
2463,Sergeant's Crag,34B,2396,5;Dew;W;B; Sy;Fel,571,NY273113,54.492531,-3.122463,1
2464,Outerside,34B,2372,5;Dew;W;B; Sy;Fel,568,NY211214,54.582169,-3.222159,1
2465,Knott Rigg,34B,2372,5;Dew;W;B; Sy;Fel,556,NY197188,54.558701,-3.242613,1
2466,Steel Fell [Dead Pike - Steel Fell],34B,2396,5;Dew;W;B; Sy;Fel,553,NY319111,54.49115,-3.052179,1
2467,Rosthwaite Fell - Bessyboot,34B,2359,5;Dew;W;B; Sy;Fel,551,NY258124,54.502198,-3.14685,1
2468,Tarn Crag (Easedale),34B,2396,W;B;Sy;Fel,549,NY303093,54.474295,-3.076006,1
2469,Hard Knott,34B,,Ma;5;Dew;W; B;Sy;Fel,549,NY231023,54.411026,-3.185029,1
2470,Blea Rigg,34B,2396,W;B;Sy;Fel,541,NY301078,54.461076,-3.078806,1
